"hdl","gender","cases","pyears"
1,"Men",305,33757.1
1,"Women",57,8729.2
2,"Men",354,46170.6
2,"Women",82,16832.4
3,"Men",372,53385.5
3,"Women",124,29828.1
4,"Men",309,52110.9
4,"Women",126,43346.9
5,"Men",215,37325.2
5,"Women",122,44192.7
6,"Men",137,27182.1
6,"Women",105,46467.2
7,"Men",77,15556.4
7,"Women",77,36971.3
8,"Men",51,10503.2
8,"Women",59,29751.4
9,"Men",29,5676.1
9,"Women",39,19193.2
10,"Men",15,3655.3
10,"Women",26,12870.2
11,"Men",9,1817.6
11,"Women",12,7496.3
12,"Men",19,3028.7
12,"Women",25,9719.3
